loc_code,hour,dow,month,is_weekend,duration_lag1,duration_mean_3,duration_delta,w_rain,w_snow,w_windy,w_clear,w_storm,weather_severity,severe_night,severe_weekend,duration_mins
0,17,3,7,0,240.0,360.0,240.0,0,0,0,0,0,11,0,0,480
0,21,4,7,0,480.0,440.0,120.0,0,0,0,0,0,15,15,0,600
0,11,5,7,1,600.0,400.0,-480.0,0,0,0,0,0,4,0,4,120
0,2,0,7,0,120.0,340.0,180.0,0,0,0,0,0,4,4,0,300
0,3,2,7,0,300.0,380.0,420.0,0,0,0,0,0,15,15,0,720
0,4,3,7,0,720.0,420.0,-480.0,0,0,0,0,0,4,4,0,240
1,20,3,7,0,300.0,300.0,0.0,0,0,0,0,0,8,0,0,300
1,16,4,7,0,300.0,260.0,-120.0,0,0,0,0,1,10,0,0,180
1,2,4,7,0,180.0,260.0,120.0,0,0,0,0,0,8,8,0,300
2,22,0,7,0,180.0,450.0,540.0,0,0,0,0,0,11,11,0,720
2,2,5,7,1,720.0,420.0,-360.0,0,0,0,0,0,11,11,11,360
2,10,4,7,0,360.0,500.0,60.0,0,0,0,0,0,9,0,0,420
2,16,6,7,1,420.0,380.0,-60.0,0,0,0,0,0,9,0,9,360
3,5,2,7,0,240.0,270.0,60.0,0,0,0,0,1,10,10,0,300
3,17,4,7,0,300.0,320.0,120.0,0,0,0,0,0,9,0,0,420
3,16,5,7,1,420.0,340.0,-120.0,0,0,0,0,1,10,0,10,300
3,8,0,7,0,300.0,300.0,-120.0,0,0,0,0,0,5,0,0,180
3,17,3,7,0,180.0,380.0,480.0,0,1,0,0,1,7,0,0,660
3,10,6,7,1,660.0,340.0,-480.0,0,0,0,0,1,10,0,10,180
4,16,3,7,0,360.0,360.0,0.0,0,1,0,0,1,7,0,0,360
4,19,4,7,0,360.0,460.0,300.0,0,0,0,0,0,12,0,0,660
4,22,4,7,0,660.0,440.0,-360.0,0,0,0,0,0,9,9,0,300
4,5,6,7,1,300.0,440.0,60.0,0,0,0,0,0,8,8,8,360
4,0,0,7,0,360.0,300.0,-120.0,0,0,0,0,0,5,5,0,240
4,16,5,7,1,240.0,280.0,0.0,0,0,0,0,0,4,0,4,240
4,11,2,7,0,240.0,380.0,420.0,0,0,0,0,0,15,0,0,660
5,17,1,7,0,240.0,240.0,0.0,0,0,0,0,0,4,0,0,240
5,15,6,7,1,240.0,300.0,180.0,0,0,0,0,0,8,0,8,420
5,20,6,7,1,420.0,320.0,-120.0,0,0,0,0,0,5,0,5,300
5,4,0,7,0,300.0,480.0,420.0,0,1,0,0,1,7,7,0,720
6,15,5,7,1,480.0,450.0,-60.0,0,1,0,0,1,7,0,7,420
6,19,5,7,1,420.0,500.0,180.0,0,0,0,0,0,15,0,15,600
7,5,0,7,0,660.0,390.0,-540.0,0,0,0,0,0,4,4,0,120
7,11,2,7,0,120.0,320.0,60.0,0,0,0,0,0,5,0,0,180
7,19,0,7,0,180.0,160.0,0.0,1,0,0,0,0,6,0,0,180
7,0,1,7,0,180.0,180.0,0.0,0,0,0,0,0,8,8,0,180
7,10,2,7,0,180.0,180.0,0.0,0,0,0,0,0,5,0,0,180
7,15,2,7,0,180.0,280.0,300.0,0,0,0,0,0,11,0,0,480
7,10,4,7,0,480.0,340.0,-120.0,0,0,0,0,1,10,0,0,360
8,21,4,7,0,600.0,390.0,-420.0,0,0,0,0,1,10,10,0,180
8,1,1,7,0,180.0,320.0,0.0,0,0,0,0,0,4,4,0,180
8,3,6,7,1,180.0,220.0,120.0,0,0,0,0,0,8,8,8,300
8,3,1,7,0,300.0,220.0,-120.0,0,0,0,0,0,8,8,0,180
8,2,3,7,0,180.0,200.0,-60.0,0,0,0,0,0,4,4,0,120
8,21,2,7,0,120.0,240.0,300.0,0,0,0,0,0,12,12,0,420
9,20,5,7,1,240.0,450.0,420.0,0,0,0,0,0,12,0,12,660
9,5,6,7,1,660.0,540.0,60.0,0,0,0,0,0,15,15,15,720
9,5,3,7,0,720.0,580.0,-360.0,0,0,0,0,0,8,8,0,360
9,17,6,7,1,360.0,460.0,-60.0,0,0,0,0,0,4,0,4,300
9,6,1,7,0,300.0,380.0,180.0,0,0,0,0,0,15,0,0,480
9,20,6,7,1,480.0,460.0,120.0,0,0,0,0,0,15,0,15,600
9,13,0,7,0,600.0,460.0,-300.0,0,0,0,0,0,4,0,0,300
10,2,2,7,0,300.0,390.0,180.0,0,0,0,0,0,15,15,0,480
10,3,0,7,0,480.0,420.0,0.0,0,0,0,0,0,9,9,0,480
10,9,1,7,0,480.0,440.0,-120.0,0,0,0,0,1,10,0,0,360
10,21,3,7,0,360.0,380.0,-60.0,0,0,0,0,0,5,5,0,300
10,18,0,7,0,300.0,380.0,180.0,0,0,0,0,0,11,0,0,480
10,14,1,7,0,480.0,480.0,180.0,0,1,0,0,1,7,0,0,660
10,16,2,7,0,660.0,460.0,-420.0,0,0,0,0,1,10,0,0,240
11,23,3,7,0,360.0,240.0,-240.0,0,0,0,0,0,4,4,0,120
11,6,6,7,1,120.0,280.0,240.0,0,0,0,0,0,9,0,9,360
11,16,2,7,0,360.0,240.0,-120.0,0,0,0,0,0,5,0,0,240
11,11,4,7,0,240.0,320.0,120.0,0,1,0,0,1,7,0,0,360
